Id,SalePrice
1461,115952.36988798986
1462,169442.3030802112
1463,187703.01775127588
1464,198234.52356891506
1465,204997.26255414425
1466,166051.9430848982
1467,173564.97138094026
1468,157952.8616988851
1469,200024.32141104527
1470,115196.28436537665
1471,168575.61799031534
1472,95350.71818797433
1473,91129.84770559444
1474,144588.01921605258
1475,101517.45495810875
1476,371909.11430377717
1477,257700.35697800035
1478,301669.07543457526
1479,301003.3621597955
1480,464573.277673089
1481,314790.62663760444
1482,207360.1483933158
1483,175206.68788024853
1484,161965.87745072425
1485,180158.86360089562
1486,194746.4501404557
1487,332214.4277157535
1488,216040.0117023976
1489,203399.56118614489
1490,254003.4337860991
1491,200073.07987568015
1492,95150.62726113082
1493,191306.70155323506
1494,282452.0827196553
1495,282114.18431113096
1496,238173.2667129546
1497,177251.2259594496
1498,178023.243994796
1499,165552.44367938905
1500,151691.57436965304
1501,183475.58663614118
1502,134469.99734026275
1503,366755.4428165419
1504,235612.91915802553
1505,227059.66449256585
1506,194374.05199635553
1507,256564.055525041
1508,196439.00022223813
1509,157679.9650923284
1510,149314.5668415837
1511,158698.57983539786
1512,174227.58010081627
1513,148697.9647260098
1514,163159.6582112743
1515,211006.31344866083
1516,154471.74329087167
1517,182185.87151799627
1518,119815.45987238931
1519,217347.37883708376
1520,127532.46379914953
1521,135340.51721247708
1522,185225.17336153492
1523,111122.39185155247
1524,124003.67568146378
1525,116154.5281855663
1526,102004.51053633854
1527,100086.99874515733
1528,137031.4119464903
1529,159737.42571995908
1530,208637.81785766632
1531,109417.48975271436
1532,87706.7613772077
1533,161913.09049249213
1534,123827.3617093738
1535,153522.9860588753
1536,97979.05866848043
1537,46054.107729206386
1538,149506.18223686347
1539,196680.3082474252
1540,116803.9023386323
1541,139004.6895925688
1542,154488.24962143047
1543,189688.08431377672
1544,71460.0416971069
1545,117000.53481299573
1546,128277.15377656922
1547,135619.18931641712
1548,144878.98578325918
1549,122306.56587687432
1550,140374.78973442878
1551,105171.21038464241
1552,158082.42422242177
1553,152665.86310517206
1554,116860.56452983533
1555,158922.06771069954
1556,50572.31602351216
1557,134512.40875473435
1558,105501.20413315209
1559,55401.94913624262
1560,116026.47419460877
1561,159128.75861994142
1562,128532.76244148593
1563,126866.4655844595
1564,155814.36206844886
1565,153375.30343876098
1566,229079.66340706905
1567,69503.80493939418
1568,220454.43822279864
1569,128819.61630081633
1570,121017.29981002293
1571,100123.4528104502
1572,150841.3668862602
1573,271900.1033062466
1574,136950.8430284005
1575,239583.56542830964
1576,226286.7466546424
1577,185596.0656639397
1578,141581.11314564868
1579,149366.13574999594
1580,187851.0142935384
1581,154603.11352696817
1582,127996.20481169356
1583,281087.8651349187
1584,218485.0635006075
1585,130555.29623518955
1586,76379.14324146046
1587,103015.08569665768
1588,155818.67422531842
1589,103518.6063870941
1590,131050.01609046296
1591,94925.31008775785
1592,131782.3280613085
1593,124289.63408868972
1594,158872.00051997084
1595,116901.56371941815
1596,223909.08076423386
1597,204067.36356468062
1598,218019.25204823952
1599,183673.6984975042
1600,165357.6044967807
1601,50625.264615102154
1602,127135.94251773166
1603,43753.13245664153
1604,275673.80601371557
1605,228331.1630382061
1606,161343.28761544492
1607,164297.92059110705
1608,204474.7685128892
1609,186272.88433334394
1610,154988.91657706792
1611,134121.86761846408
1612,182730.52127632353
1613,168334.0435037979
1614,121781.49220654018
1615,94140.43286656539
1616,72189.07235742878
1617,85334.48054492156
1618,133429.16594160273
1619,144931.65328247595
1620,180148.92610954912
1621,132022.6714890719
1622,143261.88673782544
1623,254455.4255560627
1624,212980.40387891844
1625,115479.77982808037
1626,166046.12764878862
1627,189478.14253324602
1628,280028.0120670309
1629,177037.33413632703
1630,364620.4606519503
1631,253284.13697188895
1632,252352.08018232862
1633,173598.0236546671
1634,186129.77053250893
1635,165139.6995335888
1636,144205.0176902124
1637,205903.55034321896
1638,182517.8460240557
1639,186203.2761199585
1640,245267.50278921338
1641,179222.87172017287
1642,251425.75922310285
1643,222227.68954428946
1644,239835.66303476546
1645,213557.18632597907
1646,153374.31824263153
1647,154757.76181995688
1648,125587.97821719028
1649,127705.45030068462
1650,116633.55884760687
1651,117394.29684088321
1652,95779.14333627831
1653,93822.45215617589
1654,144824.0783891477
1655,119923.47821660011
1656,141447.995117659
1657,153189.94834384188
1658,148355.61938743797
1659,121788.45057997067
1660,147728.2814503053
1661,423373.9707966889
1662,378792.8521548972
1663,379670.76237293624
1664,505904.3962522431
1665,329374.2874756983
1666,315742.964251859
1667,380544.3025926847
1668,353958.3411497898
1669,311697.29604473955
1670,350172.1456710534
1671,266814.5669954142
1672,394263.99814133625
1673,290742.4456141152
1674,247076.53870972907
1675,203681.0284847669
1676,205142.40138284495
1677,216933.17033764638
1678,463978.8810929078
1679,377809.9622225731
1680,335377.5649817451
1681,270957.2907235641
1682,317289.2284197614
1683,193362.5603785945
1684,165789.18929689575
1685,168611.01529749375
1686,163677.6099384462
1687,165469.07888563751
1688,189081.04964555704
1689,186875.13391552973
1690,187766.58784370942
1691,175695.95482441236
1692,254995.77103055565
1693,167716.42491429008
1694,180240.99176700882
1695,164750.8215943867
1696,270660.1457335801
1697,171381.31091245048
1698,336834.9678367639
1699,308967.4575132112
1700,268738.8345833
1701,272071.59878881776
1702,237935.38837035792
1703,227721.45998939514
1704,267895.90667247423
1705,240937.36484984378
1706,394027.7912777394
1707,227677.46818015655
1708,204493.66968425078
1709,250638.41884817483
1710,224622.24511885346
1711,269231.58613056666
1712,256798.7782631106
1713,280787.77960917505
1714,229894.75278607616
1715,207272.4724278372
1716,185863.9854979157
1717,173587.3230341895
1718,150143.06347620528
1719,227594.67688449146
1720,248669.62772344096
1721,151244.88600658733
1722,118034.99546686243
1723,149738.45451143582
1724,218089.65625446552
1725,238476.43182143808
1726,184101.26784281468
1727,144613.32264449378
1728,155660.7827301265
1729,170257.49104108836
1730,153628.90708275544
1731,109011.77343217471
1732,136086.3736362009
1733,108330.38539773953
1734,119940.12900007649
1735,93757.180319085
